Paper,run,submarine,Particle_type,Conserv,u3ghw,u2ghs,Uave[m/s],height,Fr,B,S1,S2,S3,slope,mu[kg/ms],ws[m/s],Cprofile
vanMaren,,subaerial,,Non-Conservative,485.67,,,,,0.00606203773585,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,518.584,,,,,0.00572145283019,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,670.146,,,,,0.00519345283019,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,506.825,,,,,0.00454839622642,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,752.511,,,,,0.00574947169811,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,872.589,,,,,0.00559132075472,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,694.176,,,,,0.00191649056604,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,1328.273,,,,,0.0038809245283,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,1770.658,,,,,0.00373460377358,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,2394.465,,,,,0.00846667924528,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,1382.567,,,,,0.01145598113208,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,1406.29,,,,,0.01420369811321,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,1253.761,,,,,0.01531075471698,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,1482.026,,,,,0.01576839622642,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,982.221,,,,,0.0153979245283,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,982.26,,,,,0.01975890566038,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,852.818,,,,,0.02110941509434,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,639.448,,,,,0.01909703773585,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,673.466,,,,,0.02162060377358,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,659.623,,,,,0.02362301886792,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,678.929,,,,,0.02760979245283,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,830.441,,,,,0.02577673584906,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,773.302,,,,,0.03104303773585,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,886.976,,,,,0.03041666037736,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,935.956,,,,,0.03483118867925,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,759.237,,,,,0.03773518867925,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,604.655,,,,,0.0355148490566,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,741.579,,,,,0.04248532075472,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,802.65,,,,,0.04710905660377,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,958.075,,,,,0.04964569811321,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,940.07,,,,,0.05844486792453,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,1168.47,,,,,0.05166181132075,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,1023.078,,,,,0.04550264150943,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,962.295,,,,,0.04053396226415,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,1197.201,,,,,0.03871771698113,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,1186.469,,,,,0.0455468490566,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,1138.586,,,,,0.03257037735849,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,1274.753,,,,,0.02858111320755,,,,,,,FALSE
